MatchID,Date,Team1,Team2,Score1,Score2,Venue,Stadium,Referee,Attendance
M001,2024-01-15,Arsenal,Liverpool,2,1,"London, UK",Emirates Stadium,Michael Oliver,60234
M002,2024-01-16,Manchester United,Chelsea,1,1,"Manchester, UK",Old Trafford,Chris Kavanagh,74106
M003,2024-01-17,Manchester City,Brighton,3,0,"Manchester, UK",Etihad Stadium,Stuart Attwell,52534
M004,2024-01-18,Tottenham,Newcastle,2,2,"London, UK",Tottenham Hotspur Stadium,Anthony Taylor,61518
M005,2024-01-19,West Ham,Aston Villa,0,2,"London, UK",London Stadium,David Coote,62500
M006,2024-01-20,Leicester,Everton,1,0,"Leicester, UK",King Power Stadium,John Moss,32123
M007,2024-01-21,Southampton,Fulham,1,3,"Southampton, UK",St. Mary's Stadium,Jon Moss,31456
M008,2024-01-22,Wolverhampton,Crystal Palace,2,1,"Wolverhampton, UK",Molineux Stadium,Peter Bankes,31456
M009,2024-01-23,Ipswich,Brentford,1,2,"Ipswich, UK",Portman Road,David Salisbury,29500
M010,2024-01-24,Nottingham Forest,Bournemouth,2,0,"Nottingham, UK",City Ground,Simon Hooper,30445
